அவர்களில் கெசேல்வத்த தினுக உள்ளிட்ட முக்கிய பாதாள உலக குழு உறுப்பினர்கள் இருப்பதாக கூறப்படுகிறது.	அவர்களில் கெசேல்வத்த தினுக உள்ளிட்ட முக்கிய பாதாள உலக குழு உறுப்பினர்கள் இருப்பத் ஆக கூறப்படுகிறோம் .	3sgn	1pl	3	sg	n
அவர்களில் கெசேல்வத்த தினுக உள்ளிட்ட முக்கிய பாதாள உலக குழு உறுப்பினர்கள் இருப்பதாக கூறப்படுகிறது.	அவர்களில் கெசேல்வத்த தினுக உள்ளிட்ட முக்கிய பாதாள உலக குழு உறுப்பினர்கள் இருப்பத் ஆக கூறப்படுகிறீர்கள் .	3sgn	2pl	3	sg	n
அவர்களில் கெசேல்வத்த தினுக உள்ளிட்ட முக்கிய பாதாள உலக குழு உறுப்பினர்கள் இருப்பதாக கூறப்படுகிறது.	அவர்களில் கெசேல்வத்த தினுக உள்ளிட்ட முக்கிய பாதாள உலக குழு உறுப்பினர்கள் இருப்பத் ஆக கூறப்படுகிறார்கள் .	3sgn	3ple	3	sg	n
அவர்களில் கெசேல்வத்த தினுக உள்ளிட்ட முக்கிய பாதாள உலக குழு உறுப்பினர்கள் இருப்பதாக கூறப்படுகிறது.	அவர்களில் கெசேல்வத்த தினுக உள்ளிட்ட முக்கிய பாதாள உலக குழு உறுப்பினர்கள் இருப்பத் ஆக கூறப்படுகிறன .	3sgn	3pln	3	sg	n
அவர்களில் கெசேல்வத்த தினுக உள்ளிட்ட முக்கிய பாதாள உலக குழு உறுப்பினர்கள் இருப்பதாக கூறப்படுகிறது.	அவர்களில் கெசேல்வத்த தினுக உள்ளிட்ட முக்கிய பாதாள உலக குழு உறுப்பினர்கள் இருப்பத் ஆக கூறப்படுகிறாள் .	3sgn	3sgf	3	sg	n
அவர்களில் கெசேல்வத்த தினுக உள்ளிட்ட முக்கிய பாதாள உலக குழு உறுப்பினர்கள் இருப்பதாக கூறப்படுகிறது.	அவர்களில் கெசேல்வத்த தினுக உள்ளிட்ட முக்கிய பாதாள உலக குழு உறுப்பினர்கள் இருப்பத் ஆக கூறப்படுகிறான் .	3sgn	3sgm	3	sg	n
அவர்களில் கெசேல்வத்த தினுக உள்ளிட்ட முக்கிய பாதாள உலக குழு உறுப்பினர்கள் இருப்பதாக கூறப்படுகிறது.	அவர்களில் கெசேல்வத்த தினுக உள்ளிட்ட முக்கிய பாதாள உலக குழு உறுப்பினர்கள் இருப்பத் ஆக கூறப்படுகின்றேன் .	3sgn	1sg	3	sg	n
அவர்களில் கெசேல்வத்த தினுக உள்ளிட்ட முக்கிய பாதாள உலக குழு உறுப்பினர்கள் இருப்பதாக கூறப்படுகிறது.	அவர்களில் கெசேல்வத்த தினுக உள்ளிட்ட முக்கிய பாதாள உலக குழு உறுப்பினர்கள் இருப்பத் ஆக கூறப்படுகிறன் .	3sgn	1sg	3	sg	n
அவர்களில் கெசேல்வத்த தினுக உள்ளிட்ட முக்கிய பாதாள உலக குழு உறுப்பினர்கள் இருப்பதாக கூறப்படுகிறது.	அவர்களில் கெசேல்வத்த தினுக உள்ளிட்ட முக்கிய பாதாள உலக குழு உறுப்பினர்கள் இருப்பத் ஆக கூறப்படுகிறேன் .	3sgn	1sg	3	sg	n
அவர்களில் கெசேல்வத்த தினுக உள்ளிட்ட முக்கிய பாதாள உலக குழு உறுப்பினர்கள் இருப்பதாக கூறப்படுகிறது.	அவர்களில் கெசேல்வத்த தினுக உள்ளிட்ட முக்கிய பாதாள உலக குழு உறுப்பினர்கள் இருப்பத் ஆக கூறப்படுகிறாய் .	3sgn	2sg	3	sg	n
அவர்களில் கெசேல்வத்த தினுக உள்ளிட்ட முக்கிய பாதாள உலக குழு உறுப்பினர்கள் இருப்பதாக கூறப்படுகிறது.	அவர்களில் கெசேல்வத்த தினுக உள்ளிட்ட முக்கிய பாதாள உலக குழு உறுப்பினர்கள் இருப்பத் ஆக கூறப்படுகிறீர் .	3sgn	2sgh	3	sg	n
சந்தோஸ் டுமொன்ட் உண்ணாட்டு விமான நிலையம் - சாவ் பாலோவிற்கு  (நாட்டின் மிகப் பெரிய நகரம்)  மட்டும் சேவை வழங்குகிறது .	சந்தோஸ் டுமொன்ட் உண்ணாட்டு விமான நிலையம் - சாவ் பாலோவிற்கு ( நாட்டின் மிகப் பெரிய நகரம் ) மட்டும் சேவை வழங்குகிறோம் .	3sgn	1pl	3	sg	n
சந்தோஸ் டுமொன்ட் உண்ணாட்டு விமான நிலையம் - சாவ் பாலோவிற்கு  (நாட்டின் மிகப் பெரிய நகரம்)  மட்டும் சேவை வழங்குகிறது .	சந்தோஸ் டுமொன்ட் உண்ணாட்டு விமான நிலையம் - சாவ் பாலோவிற்கு ( நாட்டின் மிகப் பெரிய நகரம் ) மட்டும் சேவை வழங்குகிறீர்கள் .	3sgn	2pl	3	sg	n
சந்தோஸ் டுமொன்ட் உண்ணாட்டு விமான நிலையம் - சாவ் பாலோவிற்கு  (நாட்டின் மிகப் பெரிய நகரம்)  மட்டும் சேவை வழங்குகிறது .	சந்தோஸ் டுமொன்ட் உண்ணாட்டு விமான நிலையம் - சாவ் பாலோவிற்கு ( நாட்டின் மிகப் பெரிய நகரம் ) மட்டும் சேவை வழங்குகிறார்கள் .	3sgn	3ple	3	sg	n
